index,nl_intent,nl_intent_normalized,intent_type,action,expectation_type,endpoint,lifecycle_status,resource_id,resource_name,resource_version,priority,context,is_bundle,service_type,quality_level,latency,throughput,availability,max_participants,reporting_interval
461,Modify intent 70871 description,modify intent 70871 description,Intent,PATCH,ReportingExpectation,/intent,Active,70871,AutonomousSetupA,5.0,3,Cloud services,True,VoiceService,480p,50 ms,1 Gbps,99.95%,1000,30
462,Extend intent 30625 validity period,extend intent 30625 validity period,Intent,PATCH,DeliveryExpectation,/intent,Created,30625,SmartCityProvisionB,1.8,3,Broadband services,False,DataAnalytics,480p,20 ms,1 Gbps,99.95%,200,15
463,Look up intent 94917,look up intent 94917,ProbeIntent,GET,DeliveryExpectation,/intent,Created,94917,CloudServiceProvisionC,4.7,4,Edge computing,True,VideoStreaming,Basic,100 ms,500 Mbps,99.99%,100,60
464,Look up intent 78887,look up intent 78887,ProbeIntent,GET,DeliveryExpectation,/intent,Active,78887,EventLiveDeploymentv1,5.2,1,Enterprise networks,True,CloudService,480p,10 ms,500 Mbps,99.95%,200,10
465,Remove intent EventLiveDeploymentB,remove intent eventlivedeploymentb,Intent,DELETE,DeliveryExpectation,/intent,Active,23929,EventLiveDeploymentB,5.9,1,intent-based networks,True,BroadbandService,Basic,10 ms,100 Mbps,99.9%,50,60
466,Retrieve intent 60913 information,retrieve intent 60913 information,Intent,GET,DeliveryExpectation,/intent,Active,60913,GamingServiceA,5.8,5,Cloud services,True,BroadbandService,Premium,5 ms,100 Mbps,99.999%,50,30
467,Show information about intent 58148,show information about intent 58148,IntentSpecification,GET,,/intentspecification,Active,58148,CloudServiceDeployment002,3.6,2,Broadband services,False,CloudService,4KUHD,10 ms,500 Mbps,99.95%,50,10
468,Show all active intents,show all active intents,IntentReport,GET,,/intentreport,Active,37480,FactoryAutoDeploymentv2,4.6,4,Edge computing,True,IoTService,Basic,10 ms,1 Gbps,99.99%,1000,5
469,I want to enable high bandwidth connectivity for the convention center with mission critical reliability,i want to enable high bandwidth connectivity for the convention center with mission critical reliability,Intent,POST,PropertyExpectation,/intent,Active,62992,SmartGridSetup002,2.8,3,Edge computing,True,VideoStreaming,1080pHD,12 ms,100 Mbps,99.99%,1000,5
470,What is the compliance status report?,what is the compliance status report?,ProbeIntent,GET (IntentReport),PropertyExpectation,/intent,Active,35728,FactoryAutoServiceB,5.4,2,Video streaming,True,BroadbandService,480p,5 ms,10 Gbps,99.95%,50,15
471,Discontinue intent 88822,discontinue intent 88822,Intent,DELETE,DeliveryExpectation,/intent,Active,88822,EdgeComputeDeploymentv2,2.4,5,Autonomous services,True,CloudService,Standard,12 ms,1 Gbps,99.9%,5000,15
472,What is the current state compliance?,what is the current state compliance?,ProbeIntent,GET (IntentReport),ReportingExpectation,/intent,Active,28021,CloudServiceIntentB,4.0,1,intent-based networks,True,CloudService,480p,100 ms,10 Gbps,99.95%,100,5
473,What intents exist for Broadband services?,what intents exist for broadband services?,IntentSpecification,GET,,/intentspecification,Active,29684,SmartCityIntentC,3.5,5,Broadband services,False,EventWirelessAccess,Premium,10 ms,1 Gbps,99.95%,50,15
474,Purge intent 24894,purge intent 24894,IntentSpecification,DELETE,,/intentspecification,Created,24894,CloudServiceServicev2,1.0,5,Smart city,True,VideoStreaming,1080pHD,50 ms,500 Mbps,99.95%,50,5
475,Preview the BroadbandService intent outcome,preview the broadbandservice intent outcome,ProbeIntent,POST (ProbeIntent),PropertyExpectation,/intent,Active,83167,AutonomousProvision001,2.9,3,Smart city,False,BroadbandService,Basic,20 ms,500 Mbps,99.9%,50,60
476,Check status of MissionCriticalServiceA,check status of missioncriticalservicea,ProbeIntent,GET,PropertyExpectation,/intent,Active,86597,MissionCriticalServiceA,1.6,1,Enterprise networks,False,VideoStreaming,720p,50 ms,10 Gbps,99.95%,1000,15
477,Find intent named NetworkSliceSetupv1,find intent named networkslicesetupv1,IntentReport,GET,,/intentreport,Active,45425,NetworkSliceSetupv1,4.5,2,5G networks,False,DataAnalytics,Standard,20 ms,1 Gbps,99.99%,500,10
478,Find intent named GamingProvision001,find intent named gamingprovision001,Intent,GET,DeliveryExpectation,/intent,Created,43388,GamingProvision001,3.7,2,Smart city,True,VoiceService,4KUHD,20 ms,10 Gbps,99.9%,1000,15
479,List all intents in the system,list all intents in the system,ProbeIntent,GET,DeliveryExpectation,/intent,Created,35012,NetworkSliceDeploymentv2,5.1,5,Broadband services,False,BroadbandService,Standard,100 ms,10 Gbps,99.999%,100,30
480,Test 4K UHD quality capability,test 4k uhd quality capability,ProbeIntent,POST (ProbeIntent),PropertyExpectation,/intent,Active,87487,NetworkSliceProvisionC,4.6,3,intent-based networks,True,CloudService,Premium,5 ms,1 Gbps,99.99%,5000,60
481,What is the compliance status report?,what is the compliance status report?,IntentReport,GET (IntentReport),,/intentreport,Created,22667,VideoStreamIntentv2,4.2,1,Cloud services,True,VoiceService,Basic,100 ms,100 Mbps,99.9%,100,15
482,Probe the system for deploy network slice with 99.999% availability capability,probe the system for deploy network slice with 99.999% availability capability,ProbeIntent,POST (ProbeIntent),PropertyExpectation,/intent,Active,25783,FactoryAutoIntentv2,1.7,2,Broadband services,True,VoiceService,1080pHD,50 ms,100 Mbps,99.999%,500,5
483,Find intent named GamingSetupv2,find intent named gamingsetupv2,Intent,GET,DeliveryExpectation,/intent,Active,43770,GamingSetupv2,2.1,5,Autonomous services,False,VoiceService,1080pHD,10 ms,10 Gbps,99.99%,200,15
484,Generate intent assessment report,generate intent assessment report,IntentReport,GET (IntentReport),,/intentreport,Active,67703,AutonomousServicev2,4.7,3,intent-based networks,False,BroadbandService,Premium,50 ms,500 Mbps,99.999%,50,10
485,Check status of VideoStreamDeploymentC,check status of videostreamdeploymentc,IntentSpecification,GET,,/intentspecification,Created,20768,VideoStreamDeploymentC,4.9,3,Video streaming,True,VideoStreaming,Standard,100 ms,500 Mbps,99.99%,5000,5
486,Revise EventLiveDeployment001 requirements,revise eventlivedeployment001 requirements,Intent,PATCH,ReportingExpectation,/intent,Created,44633,EventLiveDeployment001,4.1,3,Video streaming,False,EventWirelessAccess,Premium,50 ms,500 Mbps,99.95%,100,5
487,List all intents in the system,list all intents in the system,IntentSpecification,GET,,/intentspecification,Created,89300,MissionCriticalProvisionv2,2.8,2,Smart city,True,IoTService,480p,100 ms,10 Gbps,99.9%,1000,15
488,Search for intent 58654,search for intent 58654,Intent,GET,ReportingExpectation,/intent,Active,58654,EventLiveDeploymentA,5.6,4,intent-based networks,True,StreamingApplication,480p,5 ms,1 Gbps,99.999%,100,10
489,Get intent state report,get intent state report,ProbeIntent,GET (IntentReport),DeliveryExpectation,/intent,Active,74036,GamingDeployment001,2.9,5,Enterprise networks,False,EventWirelessAccess,Premium,100 ms,10 Gbps,99.99%,50,30
490,Start a new StreamingApplication with low latency under 10ms,start a new streamingapplication with low latency under 10ms,Intent,POST,PropertyExpectation,/intent,Created,20800,BroadbandServiceC,3.9,1,Autonomous services,True,StreamingApplication,480p,5 ms,1 Gbps,99.999%,1000,5
491,Modify BroadbandDeploymentB quality to near real-time performance,modify broadbanddeploymentb quality to near real-time performance,Intent,PATCH,ReportingExpectation,/intent,Active,23830,BroadbandDeploymentB,3.6,4,Autonomous services,False,BroadbandService,480p,50 ms,100 Mbps,99.99%,50,60
492,I want to provide immersive gaming services with minimal latency with near real-time performance,i want to provide immersive gaming services with minimal latency with near real-time performance,IntentSpecification,POST,,/intentspecification,Created,69856,TelehealthIntentB,1.4,4,Edge computing,True,DataAnalytics,Standard,12 ms,100 Mbps,99.9%,1000,60
493,Simulate intent for enable high bandwidth connectivity for the convention center,simulate intent for enable high bandwidth connectivity for the convention center,ProbeIntent,POST (ProbeIntent),PropertyExpectation,/intent,Created,79383,FactoryAutoDeployment002,5.2,5,Cloud services,True,VideoStreaming,480p,5 ms,100 Mbps,99.9%,200,10
494,Remove intent CloudServiceServiceC,remove intent cloudserviceservicec,IntentSpecification,DELETE,,/intentspecification,Active,36889,CloudServiceServiceC,5.1,5,Smart city,False,EventWirelessAccess,4KUHD,12 ms,500 Mbps,99.99%,1000,15
495,What is the current state compliance?,what is the current state compliance?,ProbeIntent,GET (IntentReport),ReportingExpectation,/intent,Active,84660,TelehealthProvision001,1.4,2,Edge computing,False,IoTService,480p,10 ms,100 Mbps,99.999%,500,15
496,Get all intents with priority 2,get all intents with priority 2,IntentSpecification,GET,,/intentspecification,Active,59705,BroadbandIntent002,1.4,2,IoT networks,False,CloudService,4KUHD,20 ms,100 Mbps,99.9%,200,5
497,Show information about intent 70499,show information about intent 70499,ProbeIntent,GET,ReportingExpectation,/intent,Created,70499,IoTConnectSetupA,1.1,2,5G networks,True,VoiceService,Basic,100 ms,500 Mbps,99.95%,200,60
498,View the SmartGridIntentv1 intent,view the smartgridintentv1 intent,ProbeIntent,GET,DeliveryExpectation,/intent,Active,81946,SmartGridIntentv1,2.8,1,Broadband services,True,VideoStreaming,4KUHD,100 ms,10 Gbps,99.9%,100,10
499,Get details of intent 52766,get details of intent 52766,IntentSpecification,GET,,/intentspecification,Active,52766,VideoStreamServicev2,5.8,3,Enterprise networks,True,VideoStreaming,480p,100 ms,1 Gbps,99.95%,500,10
500,Adjust MissionCriticalService002 parameters,adjust missioncriticalservice002 parameters,Intent,PATCH,PropertyExpectation,/intent,Created,49423,MissionCriticalService002,4.2,4,intent-based networks,True,CloudService,4KUHD,5 ms,100 Mbps,99.9%,200,30
501,View the ConnectedCarSetupB intent,view the connectedcarsetupb intent,ProbeIntent,GET,PropertyExpectation,/intent,Created,57387,ConnectedCarSetupB,1.1,3,intent-based networks,True,EdgeComputing,1080pHD,10 ms,10 Gbps,99.95%,1000,60
502,Set up provide mission critical communications for emergency services with priority 3,set up provide mission critical communications for emergency services with priority 3,IntentSpecification,POST,,/intentspecification,Active,34961,ConnectedCarDeploymentC,2.8,3,Broadband services,False,EventWirelessAccess,Premium,50 ms,10 Gbps,99.9%,500,10
503,I need an intent configured for provide immersive gaming services with minimal latency,i need an intent configured for provide immersive gaming services with minimal latency,IntentSpecification,POST,,/intentspecification,Created,23547,ConnectedCarIntentv1,4.9,3,intent-based networks,False,CloudService,480p,50 ms,500 Mbps,99.9%,1000,30
504,Test synchronous processing capability,test synchronous processing capability,ProbeIntent,POST (ProbeIntent),DeliveryExpectation,/intent,Created,97449,CloudServiceProvisionA,4.3,5,IoT networks,False,EventWirelessAccess,Basic,5 ms,500 Mbps,99.999%,1000,10
505,Register a service intent for provide mission critical communications for emergency services,register a service intent for provide mission critical communications for emergency services,Intent,POST,ReportingExpectation,/intent,Active,55755,SmartCitySetup002,1.5,4,Cloud services,True,StreamingApplication,720p,10 ms,500 Mbps,99.999%,50,10
506,Search for intent 71543,search for intent 71543,IntentReport,GET,,/intentreport,Active,71543,CloudServiceProvisionv1,2.3,5,Autonomous services,False,CloudService,1080pHD,100 ms,10 Gbps,99.99%,500,5
507,Get the current status of EventLiveProvisionv2,get the current status of eventliveprovisionv2,Intent,GET,PropertyExpectation,/intent,Active,49658,EventLiveProvisionv2,4.0,2,5G networks,False,CloudService,720p,20 ms,10 Gbps,99.99%,200,10
508,Test high availability of 99.99% capability,test high availability of 99.99% capability,ProbeIntent,POST (ProbeIntent),PropertyExpectation,/intent,Active,99127,NetworkSliceIntentv2,2.2,5,IoT networks,True,DataAnalytics,Premium,5 ms,1 Gbps,99.9%,200,30
509,Fetch the intent 81687,fetch the intent 81687,IntentReport,GET,,/intentreport,Created,81687,ConnectedCarServicev2,3.0,1,intent-based networks,False,StreamingApplication,480p,5 ms,1 Gbps,99.99%,100,10
510,List all intents in the system,list all intents in the system,ProbeIntent,GET,DeliveryExpectation,/intent,Created,63098,EdgeComputeService001,1.5,2,5G networks,False,DataAnalytics,480p,20 ms,1 Gbps,99.999%,1000,15
511,Display report for VoiceService,display report for voiceservice,ProbeIntent,GET (IntentReport),PropertyExpectation,/intent,Created,73060,TelehealthSetupv2,4.2,2,Smart city,True,VoiceService,Basic,50 ms,500 Mbps,99.9%,50,10
512,What is the current state compliance?,what is the current state compliance?,IntentReport,GET (IntentReport),,/intentreport,Created,22844,BroadbandDeploymentC,4.5,4,Video streaming,True,BroadbandService,4KUHD,20 ms,100 Mbps,99.99%,50,5
513,Get compliance report for AutonomousDeploymentB,get compliance report for autonomousdeploymentb,Intent,GET (IntentReport),PropertyExpectation,/intent,Active,44763,AutonomousDeploymentB,4.5,3,Enterprise networks,True,VoiceService,4KUHD,100 ms,100 Mbps,99.9%,50,60
514,Get monitoring data for VideoStreamDeploymentv2,get monitoring data for videostreamdeploymentv2,Intent,GET (IntentReport),PropertyExpectation,/intent,Active,83627,VideoStreamDeploymentv2,5.1,2,Cloud services,True,EdgeComputing,1080pHD,20 ms,100 Mbps,99.95%,1000,15
515,Define an intent to deliver deploy augmented reality service for retail stores,define an intent to deliver deploy augmented reality service for retail stores,Intent,POST,PropertyExpectation,/intent,Active,28639,VideoStreamIntentC,5.1,5,intent-based networks,False,CloudService,1080pHD,10 ms,500 Mbps,99.95%,50,5
516,Generate intent assessment report,generate intent assessment report,IntentReport,GET (IntentReport),,/intentreport,Active,60165,ConnectedCarProvision002,4.8,3,Smart city,False,CloudService,Standard,20 ms,10 Gbps,99.99%,5000,60
517,Initiate provide mission critical communications for emergency services service intent,initiate provide mission critical communications for emergency services service intent,Intent,POST,PropertyExpectation,/intent,Created,40707,SmartCityProvision001,2.0,2,IoT networks,False,BroadbandService,Premium,12 ms,100 Mbps,99.999%,5000,30
518,Get monitoring data for VideoStreamIntent002,get monitoring data for videostreamintent002,ProbeIntent,GET (IntentReport),DeliveryExpectation,/intent,Created,21096,VideoStreamIntent002,1.9,4,IoT networks,True,StreamingApplication,Premium,50 ms,1 Gbps,99.95%,50,10
519,Clean up intent SmartGridProvisionA,clean up intent smartgridprovisiona,IntentSpecification,DELETE,,/intentspecification,Active,71791,SmartGridProvisionA,3.0,4,Video streaming,True,VoiceService,720p,5 ms,10 Gbps,99.95%,1000,30
520,Destroy intent 50822,destroy intent 50822,Intent,DELETE,DeliveryExpectation,/intent,Created,50822,VideoStreamDeploymentA,1.5,4,Autonomous services,False,EventWirelessAccess,Basic,5 ms,500 Mbps,99.99%,100,60
521,Start a new EdgeComputing with standard quality,start a new edgecomputing with standard quality,Intent,POST,DeliveryExpectation,/intent,Active,99516,BroadbandDeploymentv2,2.1,3,Enterprise networks,True,EdgeComputing,Standard,20 ms,500 Mbps,99.95%,1000,5
522,What is the reporting status of MissionCriticalIntentA?,what is the reporting status of missioncriticalintenta?,IntentReport,GET (IntentReport),,/intentreport,Active,49412,MissionCriticalIntentA,3.2,1,Broadband services,False,NetworkSlice,Premium,12 ms,500 Mbps,99.9%,500,30
523,Set up a new intent for deploy augmented reality service for retail stores,set up a new intent for deploy augmented reality service for retail stores,IntentSpecification,POST,,/intentspecification,Active,94547,TelehealthProvisionv2,5.3,5,5G networks,False,VideoStreaming,720p,10 ms,10 Gbps,99.999%,5000,5
524,Take down intent 96832,take down intent 96832,Intent,DELETE,PropertyExpectation,/intent,Created,96832,EdgeComputeDeployment001,5.0,1,Smart city,False,CloudService,480p,5 ms,100 Mbps,99.999%,5000,15
525,Get intent report for provide holographic communication services,get intent report for provide holographic communication services,IntentReport,GET (IntentReport),,/intentreport,Created,63053,ConnectedCarServiceC,1.9,2,Edge computing,False,EventWirelessAccess,Premium,20 ms,100 Mbps,99.999%,200,10
526,Get compliance report for MissionCriticalDeploymentA,get compliance report for missioncriticaldeploymenta,Intent,GET (IntentReport),PropertyExpectation,/intent,Created,42271,MissionCriticalDeploymentA,1.9,2,Broadband services,True,NetworkSlice,1080pHD,10 ms,1 Gbps,99.95%,500,10
527,Generate performance report for intent 79230,generate performance report for intent 79230,ProbeIntent,GET (IntentReport),PropertyExpectation,/intent,Created,79230,EdgeComputeDeploymentv1,1.9,2,Smart city,True,IoTService,Standard,20 ms,10 Gbps,99.95%,5000,10
528,Refresh intent 43897 settings,refresh intent 43897 settings,IntentSpecification,PATCH,,/intentspecification,Active,43897,MissionCriticalIntentC,3.3,2,Smart city,True,BroadbandService,Basic,5 ms,1 Gbps,99.99%,1000,15
529,Show all active intents,show all active intents,IntentReport,GET,,/intentreport,Created,68982,EdgeComputeDeployment001,5.8,4,Broadband services,True,CloudService,720p,12 ms,1 Gbps,99.9%,100,60
530,What intents exist for Edge computing?,what intents exist for edge computing?,IntentReport,GET,,/intentreport,Created,61920,GamingIntentv1,4.9,4,Edge computing,False,CloudService,480p,5 ms,500 Mbps,99.99%,1000,60
531,Purge intent 85585,purge intent 85585,Intent,DELETE,ReportingExpectation,/intent,Created,85585,AutonomousIntent002,3.2,4,Video streaming,False,IoTService,720p,10 ms,100 Mbps,99.95%,500,60
532,What is the reporting status of AutonomousProvision001?,what is the reporting status of autonomousprovision001?,Intent,GET (IntentReport),DeliveryExpectation,/intent,Created,43151,AutonomousProvision001,5.9,5,Video streaming,True,NetworkSlice,Premium,12 ms,10 Gbps,99.999%,1000,10
533,Generate intent for provide holographic communication services,generate intent for provide holographic communication services,IntentSpecification,POST,,/intentspecification,Created,54018,SmartGridDeploymentB,4.1,4,Cloud services,True,VideoStreaming,720p,12 ms,10 Gbps,99.95%,500,10
534,Cancel all VoiceService intents,cancel all voiceservice intents,IntentSpecification,DELETE,,/intentspecification,Active,60049,CloudServiceService001,3.5,5,Smart city,False,VoiceService,Premium,20 ms,100 Mbps,99.999%,1000,30
535,Update the context of TelehealthSetupB to Autonomous services,update the context of telehealthsetupb to autonomous services,IntentSpecification,PATCH,,/intentspecification,Created,48093,TelehealthSetupB,1.2,4,Autonomous services,True,VideoStreaming,Standard,50 ms,100 Mbps,99.999%,5000,15
536,Check availability for EdgeComputing,check availability for edgecomputing,ProbeIntent,POST (ProbeIntent),PropertyExpectation,/intent,Created,65264,BroadbandDeploymentA,5.1,4,Broadband services,True,EdgeComputing,720p,12 ms,10 Gbps,99.95%,500,15
537,Set up a new intent for provide broadband service for residential area with 1Gbps throughput,set up a new intent for provide broadband service for residential area with 1gbps throughput,Intent,POST,DeliveryExpectation,/intent,Created,34592,EventLiveDeployment002,1.8,5,Autonomous services,True,NetworkSlice,Basic,5 ms,10 Gbps,99.9%,500,60
538,Submit intent for deploy smart grid connectivity for utility management,submit intent for deploy smart grid connectivity for utility management,Intent,POST,DeliveryExpectation,/intent,Created,84789,ConnectedCarDeployment002,4.7,3,Cloud services,True,BroadbandService,480p,100 ms,1 Gbps,99.99%,5000,15
539,Terminate intent VideoStreamServiceA,terminate intent videostreamservicea,Intent,DELETE,PropertyExpectation,/intent,Active,23378,VideoStreamServiceA,1.2,5,intent-based networks,False,IoTService,480p,5 ms,1 Gbps,99.95%,1000,5
540,Amend intent 75314 parameters,amend intent 75314 parameters,Intent,PATCH,DeliveryExpectation,/intent,Created,75314,GamingIntent002,5.4,3,IoT networks,True,CloudService,Standard,5 ms,1 Gbps,99.99%,1000,10
541,List all intents in the system,list all intents in the system,IntentSpecification,GET,,/intentspecification,Active,59776,MissionCriticalProvisionv1,5.9,3,Edge computing,False,StreamingApplication,480p,12 ms,10 Gbps,99.95%,1000,30
542,Check status of SmartCityIntentA,check status of smartcityintenta,Intent,GET,PropertyExpectation,/intent,Created,30739,SmartCityIntentA,3.7,3,Autonomous services,False,VideoStreaming,Standard,100 ms,10 Gbps,99.95%,500,5
543,Revise VideoStreamIntent001 requirements,revise videostreamintent001 requirements,Intent,PATCH,DeliveryExpectation,/intent,Active,57281,VideoStreamIntent001,3.6,3,Cloud services,False,EventWirelessAccess,720p,5 ms,10 Gbps,99.9%,200,60
544,Probe reporting status of intent 93071,probe reporting status of intent 93071,ProbeIntent,POST (ProbeIntent),ReportingExpectation,/intent,Active,93071,MissionCriticalServiceC,4.5,3,Broadband services,True,CloudService,Basic,10 ms,500 Mbps,99.99%,5000,30
545,What is the state of IoTConnectIntentA?,what is the state of iotconnectintenta?,IntentReport,GET,,/intentreport,Active,52883,IoTConnectIntentA,2.2,4,Autonomous services,True,EdgeComputing,Basic,100 ms,1 Gbps,99.999%,1000,60
546,What are the reporting metrics?,what are the reporting metrics?,Intent,GET (IntentReport),ReportingExpectation,/intent,Active,71935,AutonomousServicev2,4.4,3,Enterprise networks,False,DataAnalytics,Basic,12 ms,100 Mbps,99.95%,100,15
547,Modify intent 36197 description,modify intent 36197 description,IntentSpecification,PATCH,,/intentspecification,Created,36197,EventLiveSetup001,2.4,3,5G networks,True,DataAnalytics,Standard,50 ms,100 Mbps,99.9%,5000,5
548,Register a service intent for provide broadband service for residential area with 1Gbps throughput,register a service intent for provide broadband service for residential area with 1gbps throughput,Intent,POST,DeliveryExpectation,/intent,Active,90855,ConnectedCarIntent001,4.4,4,5G networks,False,NetworkSlice,Basic,10 ms,100 Mbps,99.9%,5000,30
549,Revise VideoStreamSetup001 requirements,revise videostreamsetup001 requirements,IntentSpecification,PATCH,,/intentspecification,Created,87993,VideoStreamSetup001,2.4,4,Edge computing,True,IoTService,1080pHD,5 ms,1 Gbps,99.999%,100,5
550,I need an intent configured for provide mission critical communications for emergency services,i need an intent configured for provide mission critical communications for emergency services,Intent,POST,ReportingExpectation,/intent,Active,77807,VideoStreamProvision002,3.2,5,Video streaming,False,BroadbandService,720p,20 ms,1 Gbps,99.99%,200,60
551,Get the current status of IoTConnectServiceA,get the current status of iotconnectservicea,ProbeIntent,GET,DeliveryExpectation,/intent,Active,36740,IoTConnectServiceA,2.0,3,Autonomous services,False,NetworkSlice,Premium,50 ms,1 Gbps,99.9%,5000,10
552,Erase intent VideoStreamDeploymentv1,erase intent videostreamdeploymentv1,Intent,DELETE,ReportingExpectation,/intent,Active,94336,VideoStreamDeploymentv1,1.2,1,Enterprise networks,False,VideoStreaming,480p,50 ms,1 Gbps,99.95%,1000,30
553,Get intent state report,get intent state report,ProbeIntent,GET (IntentReport),PropertyExpectation,/intent,Active,21191,AutonomousProvisionA,1.3,3,Cloud services,True,StreamingApplication,1080pHD,5 ms,10 Gbps,99.9%,500,15
554,Generate compliance status report,generate compliance status report,IntentReport,GET (IntentReport),,/intentreport,Active,57988,AutonomousServiceA,3.5,2,Broadband services,False,IoTService,720p,100 ms,10 Gbps,99.9%,100,5
555,Clean up intent CloudServiceProvisionB,clean up intent cloudserviceprovisionb,Intent,DELETE,DeliveryExpectation,/intent,Created,52785,CloudServiceProvisionB,4.0,2,Enterprise networks,False,CloudService,Basic,100 ms,500 Mbps,99.99%,500,30
556,What is the status of intent 67386?,what is the status of intent 67386?,ProbeIntent,GET,DeliveryExpectation,/intent,Active,67386,VideoStreamDeploymentC,3.0,1,Cloud services,True,NetworkSlice,Standard,100 ms,10 Gbps,99.9%,100,10
557,Show all active intents,show all active intents,Intent,GET,DeliveryExpectation,/intent,Active,95197,EdgeComputeServicev1,1.1,2,5G networks,True,VideoStreaming,Standard,20 ms,10 Gbps,99.9%,1000,30
558,Alter the properties of SmartGridSetupv2,alter the properties of smartgridsetupv2,Intent,PATCH,ReportingExpectation,/intent,Created,96502,SmartGridSetupv2,5.8,5,Cloud services,True,NetworkSlice,Standard,12 ms,10 Gbps,99.99%,100,30
559,Add a new intent for enable high bandwidth connectivity for the convention center,add a new intent for enable high bandwidth connectivity for the convention center,Intent,POST,DeliveryExpectation,/intent,Active,95880,TelehealthIntentC,3.7,5,Enterprise networks,False,IoTService,Standard,100 ms,100 Mbps,99.99%,5000,10
560,Delete the intent for provide smart city connectivity for urban infrastructure,delete the intent for provide smart city connectivity for urban infrastructure,Intent,DELETE,DeliveryExpectation,/intent,Created,54108,ConnectedCarSetup002,1.2,1,Edge computing,False,BroadbandService,4KUHD,20 ms,100 Mbps,99.9%,100,15
561,Get degradation report for intent 68273,get degradation report for intent 68273,ProbeIntent,GET (IntentReport),ReportingExpectation,/intent,Active,68273,SmartGridIntentB,5.1,5,Edge computing,True,EdgeComputing,720p,100 ms,100 Mbps,99.95%,1000,30
562,Alter the properties of TelehealthServiceB,alter the properties of telehealthserviceb,IntentSpecification,PATCH,,/intentspecification,Active,38881,TelehealthServiceB,3.8,5,Enterprise networks,False,IoTService,Standard,20 ms,500 Mbps,99.999%,200,60
563,Test if we can deploy augmented reality service for retail stores,test if we can deploy augmented reality service for retail stores,ProbeIntent,POST (ProbeIntent),DeliveryExpectation,/intent,Active,45117,ConnectedCarSetupC,3.3,4,Cloud services,True,NetworkSlice,Premium,20 ms,10 Gbps,99.999%,1000,60
564,View the TelehealthServiceA intent,view the telehealthservicea intent,IntentSpecification,GET,,/intentspecification,Active,35793,TelehealthServiceA,3.6,2,Cloud services,False,IoTService,Basic,5 ms,1 Gbps,99.9%,200,30
565,Get all intents with priority 3,get all intents with priority 3,ProbeIntent,GET,ReportingExpectation,/intent,Created,24887,CloudServiceIntent001,3.1,3,Edge computing,True,CloudService,4KUHD,12 ms,1 Gbps,99.99%,100,15
566,Get all intents with priority 5,get all intents with priority 5,Intent,GET,DeliveryExpectation,/intent,Active,88864,CloudServiceServiceC,3.3,5,Enterprise networks,False,VoiceService,Standard,50 ms,10 Gbps,99.999%,50,10
567,Replace values in intent 40144,replace values in intent 40144,Intent,PATCH,PropertyExpectation,/intent,Created,40144,VideoStreamSetupv1,3.9,4,Edge computing,False,DataAnalytics,720p,100 ms,100 Mbps,99.999%,50,60
568,Take down intent 79827,take down intent 79827,Intent,DELETE,ReportingExpectation,/intent,Active,79827,TelehealthSetupv1,2.8,2,IoT networks,True,IoTService,4KUHD,12 ms,500 Mbps,99.99%,500,10
569,Get intent health report,get intent health report,IntentReport,GET (IntentReport),,/intentreport,Active,45243,CloudServiceDeploymentv1,1.3,1,Broadband services,True,EdgeComputing,1080pHD,100 ms,1 Gbps,99.95%,500,5
570,Request a BroadbandService with enterprise grade security,request a broadbandservice with enterprise grade security,Intent,POST,DeliveryExpectation,/intent,Active,59537,CloudServiceSetupC,1.8,3,Broadband services,True,BroadbandService,Basic,20 ms,1 Gbps,99.999%,500,5
571,Get details of intent 63649,get details of intent 63649,IntentSpecification,GET,,/intentspecification,Created,63649,AutonomousIntentB,1.3,4,Enterprise networks,True,IoTService,1080pHD,100 ms,100 Mbps,99.99%,100,60
572,Define an intent to deliver provide smart city connectivity for urban infrastructure,define an intent to deliver provide smart city connectivity for urban infrastructure,Intent,POST,PropertyExpectation,/intent,Active,37758,EdgeComputeIntentB,2.7,3,Video streaming,False,DataAnalytics,Premium,20 ms,500 Mbps,99.999%,200,30
573,Report on intent 65702,report on intent 65702,ProbeIntent,GET,PropertyExpectation,/intent,Active,65702,FactoryAutoSetupB,3.7,2,Smart city,True,BroadbandService,Basic,50 ms,500 Mbps,99.999%,500,30
574,Purge intent 43165,purge intent 43165,Intent,DELETE,PropertyExpectation,/intent,Created,43165,EdgeComputeIntentC,4.2,4,IoT networks,False,StreamingApplication,4KUHD,12 ms,500 Mbps,99.95%,500,10
575,Get the current status of FactoryAutoIntent001,get the current status of factoryautointent001,Intent,GET,DeliveryExpectation,/intent,Created,60980,FactoryAutoIntent001,2.1,4,5G networks,True,BroadbandService,1080pHD,12 ms,100 Mbps,99.99%,500,60
576,Erase intent GamingProvision002,erase intent gamingprovision002,Intent,DELETE,DeliveryExpectation,/intent,Created,68690,GamingProvision002,5.0,3,Smart city,False,StreamingApplication,Basic,12 ms,10 Gbps,99.95%,200,15
577,Place an intent for enable edge computing capabilities for autonomous vehicles,place an intent for enable edge computing capabilities for autonomous vehicles,IntentSpecification,POST,,/intentspecification,Active,84717,VideoStreamServicev2,1.0,2,Edge computing,False,StreamingApplication,1080pHD,20 ms,1 Gbps,99.95%,1000,10
